pedal_id	builder	model	photo_count	primary_photo_source
DISC-0125	Stomp Under Foot	Stomp Under Foot Hellephant	0	
DISC-0126	Stomp Under Foot	Stomp Under Foot Mean Green Machine	0	
DISC-0127	Stomp Under Foot	Stomp Under Foot Mountain Goat	0	
DISC-0128	Stomp Under Foot	Stomp Under Foot Mud Creek - Dual Fuzz Machine	0	
DISC-0129	Stomp Under Foot	Stomp Under Foot Rhinosaur	0	
DISC-0130	Stomp Under Foot	Stomp Under Foot Screaming Panda	0	
DISC-0131	Stomp Under Foot	Stomp Under Foot Serenity Overdrive	0	
DISC-0132	Stomp Under Foot	Stomp Under Foot Silver Foxx	0	
DISC-0133	Stomp Under Foot	Stomp Under Foot Skinner Box	0	
DISC-0134	Stomp Under Foot	Stomp Under Foot Son Of A Bee	0	
DISC-0135	Stomp Under Foot	Stomp Under Foot Sonic Generator	0	
DISC-0136	Stomp Under Foot	Stomp Under Foot Sonic Warfare	0	
DISC-0137	Stomp Under Foot	Stomp Under Foot Supa Dirty Rooster	0	
DISC-0138	Stomp Under Foot	Stomp Under Foot The Shag MkII - Germanium Tone Bender	0	
DISC-0139	Stomp Under Foot	Stomp Under Foot The Shag MkIII - Tone Bender	0	
DISC-0140	Stomp Under Foot	Stomp Under Foot Vintage Pumpkin Pi	0	
DISC-0141	Stomp Under Foot	Stomp Under Foot Windhand Fuzz	0	
DISC-0142	Stomp Under Foot	Stomp Under Foot 1971 Triangle Big Muff	0	
DISC-0143	Stomp Under Foot	Stomp Under Foot 1973 Ram's Head Big Muff	0	
DISC-0144	Stomp Under Foot	Stomp Under Foot 2247 Ram's Head Big Muff	0	
DISC-0145	Stomp Under Foot	Stomp Under Foot Astoria - David Gilmour Style Muff	0	
DISC-0146	Stomp Under Foot	Stomp Under Foot Civil War Big Muff	0	
DISC-0147	Stomp Under Foot	Stomp Under Foot Creator	0	
DISC-0148	Stomp Under Foot	Stomp Under Foot Foxey Lady	0	
DISC-0149	Stomp Under Foot	Stomp Under Foot Green Russian Muff	0	
DISC-0150	Stomp Under Foot	Stomp Under Foot Modified Muff	0	
DISC-0151	Stomp Under Foot	Stomp Under Foot Op Amp Big Muff	0	
DISC-0152	Stomp Under Foot	Stomp Under Foot Pumpkin Pi	0	
DISC-0153	Stomp Under Foot	Stomp Under Foot Ram's Head Big Muff	0	
DISC-0154	Stomp Under Foot	Stomp Under Foot Red Army Overdrive	0	
DISC-0155	Stomp Under Foot	Stomp Under Foot Red Menace	0	
DISC-0156	Stomp Under Foot	Stomp Under Foot The Amherst '76 Ram's Head	0	
DISC-0157	Stomp Under Foot	Stomp Under Foot The PI	0	
DISC-0158	Stomp Under Foot	Stomp Under Foot Tri-Dirty Booster	0	
DISC-0159	Stomp Under Foot	Stomp Under Foot Tri-Muff	0	
DISC-0160	Stomp Under Foot	Stomp Under Foot Violet Menace	0	
DISC-0161	Stomp Under Foot	Stomp Under Foot Violet Ram's Head Big Muff	0	
DISC-0162		Lectrolab Fuzz Buzz	0	
DISC-0163		Applied Rogue Fuzz	0	
DISC-0164		Applied Banshee Fuzz	0	
DISC-0165		Lou Rose Combo-Fuzz	0	
DISC-0166		Conrad Fuzzy Fury	0	
DISC-0167		Conrad Sky Hawk - Fuzz and Treble Booster	0	
DISC-0168		Conrad Buzz Box & Volume Expander	0	
DISC-0169		Conrad Bass Hawk	0	
DISC-0170		The Fuzz	0	
DISC-0171		Fuzzie	0	
DISC-0172		Crazy Face	0	
DISC-0173		Crazy Tone	0	
DISC-0174		Big Mag Sustainar	0	
DISC-0175		Rangemaster Fuzzbug	0	
DISC-0176		Viola	0	
DISC-0177		Vita	0	
DISC-0178		Booster	0	
DISC-0179		Supa Fuzz	0	
DISC-0180		Transfuzz	0	
DISC-0181		Fuzzy - Pep Fuzz	0	
DISC-0182		Maximal Fuzz	0	
DISC-0183		Jansen Fuzzman	0	
DISC-0184		Herald Electronics AM-44A Fuzz Master	0	
DISC-0185		Vox (by EF-EL) Distortion	0	
DISC-0186		Moreschi Octave Fuzz	0	
DISC-0187		Electronic Sounds UFO Octa-Fuzz	0	
DISC-0188		Pigdog Fuzz 1.5	0	
DISC-0189		Goldsound Fuzz	0	
DISC-0190		Cosmosound E-8 Wild Sound	0	
DISC-0191		Silversound SE/60	0	
DISC-0192		G.I.S. Distortion	0	
DISC-0193		EUR Distortion Whau-Whau	0	
DISC-0194		Goldsound Distortion Whau-Whau	0	
DISC-0195		Goldsound Distortion Whau-Whau Repeat	0	
